5952,푸딩처럼 부드러운 계란찜,20분,77,196.4 kcal,"[""계란"",""대파"",""새우"",""가쓰오부시"",""소금"",""맛술""]"
5951,치즈돈까스,30분,45,138.2 kcal,"[""돼지고기등심"",""모짜렐라치즈"",""양배추"",""계란"",""빵가루"",""밀가루"",""돈까스소스"",""후추"",""소금""]"
5950,백종원 육개장,20분,73,507.2 kcal,"[""국간장"",""꽃소금"",""후추"",""참기름"",""식용유"",""소고기(불고기용)"",""계란"",""대파"",""느타리버섯"",""표고버섯"",""고사리"",""숙주"",""생강"",""마늘"",""고추가루""]"
5949,김치찌개 비법!,30분,79,131.8 kcal,"[""김치"",""돼지고기앞다리살"",""사골육수"",""두부"",""양파"",""대파"",""소금"",""설탕"",""고추가루"",""멸치가루""]"
5947,얼큰수제비와 배추전,20분,217,Null,"[""배추"",""애호박"",""고추가루"",""고추장"",""밀가루"",""부침가루"",""소금"",""감자"",""대파"",""양파"",""마늘"",""멸치육수""]"
5946,크림 닭가슴살 스테이크,30분,101,1151.5 kcal,"[""닭가슴살"",""양송이버섯"",""생크림"",""우유"",""버터"",""마늘"",""후추"",""소금"",""레드와인""]"
5945,굴떡국,20분,11,481.6 kcal,"[""떡국떡"",""굴"",""대파"",""계란"",""해물다시팩"",""마늘"",""국간장"",""소금""]"
5944,밀푀유나베,30분,269,Null,"[""알배추"",""숙주"",""깻잎"",""소고기 샤브샤브용"",""표고버섯"",""팽이버섯"",""느타리버섯"",""해물다시팩"",""무"",""파뿌리"",""국간장"",""소금"",""진간장"",""올리고당"",""매실청"",""식초"",""청양고추"",""양파""]"
5943,김씨표류기 짜장면,40분,24,Null,"[""중화면"",""양파"",""감자"",""대파"",""양배추"",""춘장"",""오이"",""돼지고기목살"",""계란"",""전분""]"
5942,심야식당 탄멘!,30분,24,Null,"[""돈코츠라멘"",""양배추"",""숙주나물"",""돼지고기앞다리살"",""대파"",""당근""]"
5941,하울정식,15분,37,Null,"[""통베이컨"",""계란"",""바게트""]"
5940,어벤져스 타코,30분,15,Null,"[""또띠아"",""돼지고기"",""올리고당"",""레몬즙"",""칠리소스"",""양상추"",""파프리카"",""방울토마토"",""양파"",""고추""]"
5939,버터계란밥,15분,64,486.8 kcal,"[""밥"",""계란"",""진간장"",""소금"",""버터 무염""]"
5938,닭껍질유린기,30분,7,Null,"[""양상추"",""어린잎채소"",""튀김가루"",""풋고추"",""청양고추"",""진간장"",""식초"",""닭껍질"",""레몬즙"",""설탕"",""마늘"",""카레가루"",""소금"",""후추""]"
5937,새우부추전,20분,189,196.5 kcal,"[""부추"",""칵테일새우"",""청양고추"",""부침가루"",""소금""]"
5936,연어장&연어덮밥,20분,118,Null,"[""연어"",""대파"",""양파"",""청양고추"",""생강"",""진간장"",""맛술"",""설탕"",""후추""]"
5935,아스파라거스 베이컨말이,15분,103,Null,"[""베이컨"",""아스파라거스"",""소금"",""버터""]"
5934,샐러드파스타,20분,114,Null,"[""스파게티면"",""새싹채소"",""베이컨"",""캔옥수수"",""메추리알"",""진간장"",""설탕"",""발사믹식초"",""레몬즙"",""마늘"",""올리브유""]"
5933,팥가루로 만드는 초간단 팥죽,20분,14,Null,"[""팥가루"",""찹쌀가루"",""소금""]"
5932,감바스 알 아히요,15분,59,1868.3 kcal,"[""칵테일새우"",""마늘"",""올리브유"",""페페론치노"",""소금"",""후추""]"
5929,김치볶음밥,20분,2,850.5 kcal,"[""김치"",""식용유"",""밥"",""계란""]"
5924,콩나물국밥,15분,85,33.1 kcal,"[""콩나물"",""대파"",""청양고추""]"
