5872	["한식 요리","퓨전요리"]	["과일 요리","달걀/유제품 요리”, “음료/차/커피”]
5869	["한식 요리"]	[“육류 요리”, “가공식품 요리”, “쌀”]
5868	["한식 요리"]	["김치요리","채소류 요리”,”콩/두부/견과류"]
5867	["한식 요리","중식 요리","양식 요리","퓨전요리","이국적인맛"]	["김치요리","가공식품 요리”, “밀가루”]
5866	["한식 요리","동남아/인도 요리","멕시칸 요리","양식 요리","퓨전요리"]	["채소류 요리","가공식품 요리"]
5862	[]	["과일 요리","달걀/유제품 요리"]
5861	[]	["달걀/유제품 요리”, “밀가루”, “음료/차/커피”]
5860	[]	[“음료/차/커피”, “달걀/유제품 요리”]
5859	[]	["과일 요리","달걀/유제품 요리"]
5858	["양식 요리"]	[“면/만두요리”, “밀가루”, “달걀/유제품 요리”]
5857	["양식 요리","퓨전요리"]	[“육류 요리”, “면/만두요리”, “밀가루”]
5856	["한식 요리","중식 요리","퓨전요리"]	[“채소류 요리”]
5855	["퓨전요리"]	["과일 요리”, “밀가루”, “과일 요리”]
5854	["한식 요리"]	[“음료/차/커피”, “달걀/유제품 요리”]
5849	[]	[“밀가루”, “달걀/유제품 요리”]
5846	[]	["채소류 요리","과일 요리”, “음료/차/커피”]
5843	["일식 요리","양식 요리","퓨전요리"]	["채소류 요리","달걀/유제품 요리”, “음료/차/커피”]
5842	["양식 요리"]	[“육류 요리”, “밀가루”, “면/만두요리”]
5841	["한식 요리"]	["채소류 요리","가공식품 요리"]
5840	["양식 요리","이국적인맛"]	[“해산물”, “채소류 요리”, “달걀/유제품 요리”]
5839	["양식 요리"]	["과일 요리","달걀/유제품 요리","가공식품 요리”, “쌀”]
5838	["한식 요리"]	[“면/만두요리”, “밀가루”]
5837	["한식 요리","양식 요리"]	["달걀/유제품 요리”, “밀가루”]
5836	["양식 요리"]	["채소류 요리"]
5835	[]	["가공식품 요리”, “밀가루”]
5834	["한식 요리"]	["과일 요리”, “면/만두요리”, “밀가루”]
5833	["한식 요리"]	[“육류 요리”]
5830	["양식 요리"]	[“육류 요리”, “밀가루”]
5829	["한식 요리","중식 요리"]	["달걀/유제품 요리”, “해산물”]
5828	["양식 요리"]	["채소류 요리","달걀/유제품 요리"]
5826	["한식 요리"]	["달걀/유제품 요리”, “밀가루”]
5825	["중식 요리"]	[“면/만두요리”, “밀가루”]
5824	["양식 요리"]	["달걀/유제품 요리”, “밀가루”]
5823	["한식 요리","일식 요리"]	["달걀/유제품 요리","가공식품 요리"]
5822	["양식 요리","이국적인맛"]	[“육류 요리”, “달걀/유제품 요리”]
5821	[]	["과일 요리"]
5819	["동남아/인도 요리"]	["과일 요리"]
5818	["양식 요리"]	[“달걀/유제품 요리”, “음료/차/커피”]
5817	["한식 요리"]	[“가공식품 요리”, “면/만두요리”, “밀가루”]
5816	["양식 요리","이국적인맛"]	[“가공식품 요리”, “밀가루”]
5815	["한식 요리"]	[“육류 요리”, “밀가루”, “면/만두요리”]
5813	[]	[“가공식품 요리”, “쌀”, “육류 요리”]
5812	["한식 요리"]	["채소류 요리","콩/두부 요리"]
